A4GALT	NM_017436
EVL	NM_016337
EVPL	NM_001988
EVPLL	NM_001145127
EVX1	NM_001989
EWSR1	NM_005243
EXD3	NM_017820
EXO1	NM_130398
EXOC1	NM_001024924
EXOC1L	NM_001351574
EXOC2	NM_018303
EXOC3	NM_007277
EXOC3L1	NM_178516
EXOC4	NM_021807
EXOC5	NM_006544
EXOC6	NM_019053
EXOC6B	NM_015189
EXOC7	NM_001013839
EXOC8	NM_175876
EXOG	NM_005107
EXOSC1	NM_016046
EXOSC10	NM_001001998
EXOSC2	NM_014285
EXOSC3	NM_016042
EXOSC4	NM_019037
EXOSC5	NM_020158
EXOSC6	NM_058219
EXOSC7	NM_015004
EXOSC8	NM_181503
EXOSC9	NM_005033
EXPH5	NM_015065
EXT2	NM_207122
EXTL1	NM_004455
EXTL2	NM_001033025
EXTL3	NM_001440
EYA1	NM_000503
EYA2	NM_005244
EYA3	NM_001990
EYS	NM_001142800
EZH1	NM_001991
EZHIP	NM_203407
EZR	NM_001111077
F11R	NM_016946
F2RL1	NM_005242
F2RL2	NM_004101
F2RL3	NM_003950
F3	NM_001993
F7	NM_019616
F8A2	NM_001007523
F8A3	NM_001007524
FA2H	NM_024306
FAAH	NM_001441
FAAP100	NM_025161
FAAP24	NM_152266
FABP1	NM_001443
FABP2	NM_000134
FABP3	NM_004102
FABP4	NM_001442
FABP5	NM_001444
FABP6	NM_001445
FABP7	NM_001446
FABP9	NM_001080526
FADS1	NM_013402
FADS2	NM_004265
FADS3	NM_021727
FADS6	NM_178128
FAF1	NM_007051
FAF2	NM_014613
FAH	NM_000137
FAHD2A	NM_016044
FAHD2B	NM_001320848
FAIM2	NM_012306
FAM102A	NM_001035254
FAM102B	NM_001010883
FAM107A	NM_001076778
FAM110A	NM_001042353
FAM110C	NM_001077710
FAM110D	NM_024869
FAM111B	NM_198947
FAM114A1	NM_138389
FAM114A2	NM_018691
FAM117A	NM_030802
FAM117B	NM_173511
FAM118A	NM_017911
FAM118B	NM_024556
FAM120A	NM_014612
FAM120AOS	NM_198841
FAM120B	NM_032448
FAM120C	NM_017848
FAM122A	NM_138333
FAM124A	NM_001242312
FAM124B	NM_001122779
FAM126A	NM_032581
FAM131A	NM_144635
FAM131B	NM_001031690
FAM131C	NM_182623
FAM133B	NM_152789
FAM135B	NM_015912
FAM136A	NM_001329752
FAM13A	NM_014883
FAM13C	NM_198215
FAM149B1	NM_173348
FAM151A	NM_176782
FAM151B	NM_205548
FAM155A	NM_001080396
FAM155B	NM_015686
FAM160A1	NM_001109977
FAM160A2	NM_001098794
FAM160B1	NM_020940
FAM160B2	NM_022749
FAM161A	NM_001201543
FAM161B	NM_152445
FAM162A	NM_014367
FAM162B	NM_001085480
FAM163B	NM_001080515
FAM166A	NM_001001710
FAM166B	NM_001164310
FAM166C	NM_001105519
FAM167A	NM_053279
FAM167B	NM_032648
FAM168B	NM_001009993
FAM170B	NM_001164484
FAM171A1	NM_001010924
FAM171A2	NM_198475
FAM171B	NM_177454
FAM172A	NM_032042
FAM174A	NM_198507
FAM174B	NM_207446
FAM174C	NM_017914
FAM178B	NM_001122646
FAM180A	NM_205855
FAM180B	NM_001164379
FAM181B	NM_175885
FAM183A	NM_001101376
FAM184A	NM_024581
FAM184B	NM_015688
FAM185A	NM_001145268
FAM186A	NM_001145475
FAM186B	NM_032130
FAM189B	NM_006589
FAM193A	NM_001366318
FAM193B	NM_001190946
FAM199X	NM_207318
FAM200A	NM_145111
FAM200B	NM_001145191
FAM204A	NM_022063
FAM205A	NM_001141917
FAM205C	NM_001309427
FAM207A	NM_058190
FAM209A	NM_001012971
FAM209B	NM_001013646
FAM20A	NM_017565
FAM20B	NM_014864
FAM20C	NM_020223
FAM210A	NM_152352
FAM210B	NM_080821
FAM214B	NM_025182
FAM216A	NM_013300
FAM216B	NM_001318932
FAM217A	NM_173563
FAM217B	NM_022106
FAM219A	NM_001184940
FAM219B	NM_020447
FAM220A	NM_001037163
FAM221A	NM_199136
FAM221B	NM_001012446
FAM222A	NM_032829
FAM227B	NM_152647
FAM228A	NM_001040710
FAM228B	NM_001145710
FAM229B	NM_001033564
FAM234A	NM_032039
FAM234B	NM_020853
FAM236A	NM_001348070
FAM236B	NM_001348072
FAM236C	NM_001351111
FAM241A	NM_152400
FAM241B	NM_145306
FAM243A	NM_001282537
FAM24A	NM_001029888
FAM24B	NM_152644
FAM25A	NM_001146157
FAM25C	NM_001137548
FAM32A	NM_014077
FAM3A	NM_021806
FAM3B	NM_058186
FAM3C	NM_014888
FAM3D	NM_138805
FAM43A	NM_153690
FAM43B	NM_207334
FAM47B	NM_152631
FAM47C	NM_001013736
FAM47E	NM_001136570
FAM50A	NM_004699
FAM53B	NM_014661
FAM53C	NM_016605
FAM71A	NM_153606
FAM71B	NM_130899
FAM71C	NM_153364
FAM71E1	NM_001308429
FAM71E2	NM_001145402
FAM72D	NM_207418
FAM76A	NM_152660
FAM76B	NM_144664
FAM78A	NM_033387
FAM78B	NM_001017961
FAM81A	NM_152450
FAM81B	NM_152548
FAM83B	NM_001010872
FAM83C	NM_178468
FAM83D	NM_030919
FAM83F	NM_138435
FAM83G	NM_001039999
FAM83H	NM_198488
FAM89A	NM_198552
FAM89B	NM_001098785
FAM8A1	NM_016255
FAM90A1	NM_018088
FAM91A1	NM_144963
FAM98A	NM_015475
FAM98B	NM_173611
FAM9A	NM_174951
FAM9B	NM_205849
FAM9C	NM_174901
FAN1	NM_014967
FANCD2	NM_001018115
FANCD2OS	NM_001164839
FANCL	NM_018062
FANK1	NM_145235
FAP	NM_004460
FAR1	NM_032228
FAR2	NM_001271783
FARP1	NM_005766
FARP2	NM_014808
FARS2	NM_006567
FARSA	NM_004461
FARSB	NM_005687
FASN	NM_004104
FASTK	NM_006712
FASTKD1	NM_024622
FASTKD2	NM_001136193
FASTKD3	NM_024091
FASTKD5	NM_021826
FAT1	NM_005245
FAT4	NM_001291303
FATE1	NM_033085
FAU	NM_001997
FAXC	NM_032511
FAXDC2	NM_032385
FBH1	NM_178150
FBL	NM_001436
FBLIM1	NM_017556
FBLL1	NM_001355274
FBLN1	NM_006486
FBLN2	NM_001004019
FBLN7	NM_153214
FBN2	NM_001999
FBN3	NM_032447
FBP1	NM_000507
FBP2	NM_003837
FBRS	NM_001105079
FBXL12	NM_017703
FBXL14	NM_152441
FBXL16	NM_153350
FBXL17	NM_001163315
FBXL18	NM_024963
FBXL2	NM_012157
FBXL20	NM_032875
FBXL22	NM_001367807
FBXL3	NM_012158
FBXL4	NM_001278716
FBXL5	NM_012161
FBXL6	NM_012162
FBXL7	NM_012304
FBXL8	NM_018378
FBXO10	NM_012166
FBXO11	NM_001190274
FBXO15	NM_001142958
FBXO16	NM_172366
FBXO17	NM_024907
FBXO2	NM_012168
FBXO21	NM_015002
FBXO22	NM_147188
FBXO24	NM_033506
FBXO25	NM_183420
FBXO27	NM_178820
FBXO28	NM_015176
FBXO3	NM_012175
FBXO30	NM_032145
FBXO31	NM_024735
FBXO32	NM_058229
FBXO34	NM_017943
FBXO36	NM_174899
FBXO38	NM_205836
FBXO39	NM_153230
FBXO4	NM_012176
FBXO40	NM_016298
FBXO42	NM_018994
FBXO43	NM_001029860
FBXO44	NM_033182
FBXO45	NM_001105573
FBXO46	NM_001080469
FBXO47	NM_001008777
FBXO48	NM_001024680
FBXO5	NM_012177
FBXO6	NM_018438
FBXO7	NM_012179
FBXO8	NM_012180
FBXW10	NM_001267585
FBXW12	NM_207102
FBXW2	NM_012164
FBXW4	NM_022039
FBXW5	NM_018998
FBXW7	NM_001349798
FBXW8	NM_153348
FBXW9	NM_032301
FCAMR	NM_001170631
FCAR	NM_002000
FCER1G	NM_004106
FCER2	NM_001220500
FCF1	NM_015962
FCGRT	NM_001136019
FCHO2	NM_138782
FCHSD1	NM_033449
FCHSD2	NM_014824
FCMR	NM_005449
FCN1	NM_002003
FCN2	NM_004108
FCRL1	NM_052938
FCRL2	NM_030764
FCRL3	NM_052939
FCRL4	NM_031282
FCRL5	NM_031281
FCRL6	NM_001004310
FCRLA	NM_032738
FCSK	NM_145059
FDCSP	NM_152997
FDFT1	NM_004462
FDPS	NM_002004
FDX1	NM_004109
FDX2	NM_001031734
FDXACB1	NM_138378
FDXR	NM_024417
FECH	NM_000140
FEM1A	NM_018708
FEM1B	NM_015322
FEM1C	NM_020177
FEN1	NM_004111
FER	NM_005246
FER1L5	NM_001293083
FER1L6	NM_001039112
FERMT1	NM_017671
FERMT2	NM_006832
FES	NM_002005
FETUB	NM_014375
FEV	NM_017521
FEZ1	NM_005103
FEZ2	NM_005102
FEZF1	NM_001024613
FEZF2	NM_018008
FFAR3	NM_005304
FFAR4	NM_001195755
FGA	NM_021871
FGD1	NM_004463
FGD2	NM_173558
FGD3	NM_001083536
FGD5	NM_152536
FGD6	NM_018351
FGF1	NM_000800
FGF10	NM_004465
FGF11	NM_004112
FGF13	NM_004114
FGF16	NM_003868
FGF17	NM_003867
FGF18	NM_003862
FGF19	NM_005117
FGF20	NM_019851
FGF21	NM_019113
FGF23	NM_020638
FGF4	NM_002007
FGF7	NM_002009
FGF8	NM_033164
FGF9	NM_002010
FGFBP1	NM_005130
FGFBP2	NM_031950
FGFBP3	NM_152429
FGFR1OP2	NM_015633
FGFR2	NM_000141
FGFR4	NM_213647
FGFRL1	NM_001004356
FGG	NM_021870
FGGY	NM_018291
FGL1	NM_004467
FGL2	NM_006682
FGR	NM_005248
FHIT	NM_002012
FHL1	NM_001159699
FHL2	NM_001318895
FHL3	NM_004468
FHOD1	NM_013241
FIBCD1	NM_032843
FIBIN	NM_203371
FIBP	NM_004214
FICD	NM_007076
FIGLA	NM_001004311
FIGN	NM_018086
FILIP1	NM_015687
FIP1L1	NM_030917
FIS1	NM_016068
FITM2	NM_001080472
FIZ1	NM_032836
FJX1	NM_014344
FKBP11	NM_016594
FKBP15	NM_015258
FKBP1A	NM_000801
FKBP1B	NM_004116
FKBP2	ENST00000652762
FKBP3	NM_002013
FKBP4	NM_002014
FKBP5	NM_004117
FKBP6	NM_003602
FKBP7	NM_181342
FKBP8	NM_012181
FKBP9	NM_007270
FKBPL	NM_022110
FKTN	NM_001079802
FLAD1	NM_025207
FLG2	NM_001014342
FLI1	NM_002017
FLII	NM_002018
FLNB	NM_001457
FLOT1	NM_005803
FLOT2	NM_004475
FLRT2	NM_013231
FLRT3	NM_198391
FLT1	NM_002019
FLT3LG	NM_001459
FLT4	NM_182925
FLVCR1	NM_014053
FLVCR2	NM_017791
FLYWCH1	NM_001308068
FLYWCH2	NM_138439
FMC1	NM_197964
FMN1	NM_001277313
FMN2	NM_020066
FMNL1	NM_005892
FMNL2	NM_052905
FMNL3	NM_175736
FMO1	NM_001282693
FMO2	NM_001460
FMO3	NM_001002294
FMO4	NM_002022
FMO5	NM_001461
FMOD	NM_002023
FMR1NB	NM_152578
FN3K	NM_022158
FN3KRP	NM_024619
FNBP1	NM_015033
FNBP4	NM_015308
FNDC1	NM_032532
FNDC10	NM_001242659
FNDC11	NM_001319152
FNDC3A	NM_001079673
FNDC3B	NM_022763
FNDC4	NM_022823
FNDC7	NM_001144937
FNDC8	NM_017559
FNDC9	NM_001001343
FNIP1	NM_133372
FNIP2	NM_020840
FNTA	NM_002027
FNTB	NM_002028
FOLH1	NM_004476
FOLR1	NM_016729
FOLR2	NM_000803
FOLR3	NM_000804
FOS	NM_005252
FOSB	NM_006732
FOSL1	NM_005438
FOSL2	NM_005253
FOXA3	NM_004497
FOXB1	NM_012182
FOXB2	NM_001013735
FOXD1	NM_004472
FOXD2	NM_004474
FOXD3	NM_012183
FOXD4L3	NM_199135
FOXD4L5	NM_001126334
FOXE1	NM_004473
FOXE3	NM_012186
FOXF1	NM_001451
FOXG1	NM_005249
FOXH1	NM_003923
FOXI1	NM_012188
FOXI2	NM_207426
FOXI3	NM_001135649
FOXJ1	NM_001454
FOXJ2	NM_018416
FOXJ3	NM_014947
FOXK1	NM_001037165
FOXK2	NM_004514
FOXL1	NM_005250
FOXL2NB	NM_001040061
FOXM1	NM_021953
FOXN2	NM_002158
FOXN4	NM_213596
FOXO3	NM_001455
FOXO4	NM_005938
FOXP1	NM_032682
FOXP2	NM_014491
FOXQ1	NM_033260
FOXR1	NM_181721
FOXR2	NM_198451
FOXRED1	NM_017547
FOXS1	NM_004118
FPGS	NM_004957
FPR2	NM_001005738
FPR3	NM_002030
FRA10AC1	NM_145246
FRAS1	NM_025074
FRAT1	NM_005479
FRAT2	NM_012083
FREM2	NM_207361
FREM3	NM_001168235
FRG1	NM_004477
FRG2B	NM_001080998
FRK	NM_002031
FRMD3	NM_174938
FRMD4A	NM_018027
FRMD4B	NM_015123
FRMD5	NM_032892
FRMD6	NM_001267046
FRMD8	NM_031904
FRMPD1	NM_014907
FRMPD2	NM_001018071
FRMPD4	NM_001368397
FRRS1	NM_001361041
FRS3	NM_006653
FRY	NM_023037
FRYL	NM_015030
FRZB	NM_001463
FSBP	NM_001256141
FSCB	NM_032135
FSCN1	NM_003088
FSCN2	NM_012418
FSCN3	NM_020369
FSD1	NM_024333
FSD1L	NM_001145313
FSD2	NM_001007122
FSIP1	NM_152597
FSIP2	NM_173651
FST	NM_013409
FSTL1	NM_007085
FSTL3	NM_005860
FSTL4	NM_015082
FSTL5	NM_020116
FTCD	NM_206965
FTH1	NM_002032
FTHL17	NM_031894
FTL	NM_000146
FTMT	NM_177478
FTO	NM_001080432
FTSJ1	NM_012280
FTSJ3	NM_017647
FUBP3	NM_003934
FUCA1	NM_000147
FUCA2	NM_032020
FUNDC1	NM_173794
FUNDC2	NM_023934
FUOM	NM_001098483
FURIN	NM_002569
FUT10	NM_032664
FUT11	NM_173540
FUT5	NM_002034
FUT7	NM_004479
FUT8	NM_001371533
FUT9	NM_006581
FUZ	NM_025129
FXR1	NM_005087
FXYD1	NM_021902
FXYD2	NM_001680
FXYD4	NM_173160
FXYD5	NM_014164
FXYD6	NM_022003
FXYD7	NM_022006
FYB1	NM_001465
FYB2	NM_001004303
FYCO1	NM_024513
FYN	NM_002037
FYTTD1	NM_032288
FZD1	NM_003505
FZD2	NM_001466
FZD3	NM_017412
FZD4	NM_012193
FZD5	NM_003468
FZD6	NM_003506
FZD9	NM_003508
G0S2	NM_015714
G2E3	NM_017769
G3BP1	NM_005754
G6PC2	NM_021176
GAB2	NM_080491
GAB3	NM_001081573
GABARAP	NM_007278
GABARAPL1	NM_031412
GABARAPL2	NM_007285
GABBR1	NM_001470
GABBR2	NM_005458
GABPB2	NM_144618
GABRA1	NM_001127644
GABRA2	NM_000807
GABRA3	NM_000808
GABRA4	NM_000809
GABRA5	NM_000810
GABRA6	NM_000811
GABRB1	NM_000812
GABRB2	NM_001371727
GABRB3	NM_000814
GABRD	NM_000815
GABRE	NM_004961
GABRG1	NM_173536
GABRG2	NM_198904
GABRG3	NM_033223
GABRP	NM_014211
GABRQ	NM_018558
GABRR1	NM_002042
GABRR2	NM_002043
GAD1	NM_000817
GAD2	NM_001134366
GADD45A	NM_001924
GADD45B	NM_015675
GADD45G	NM_006705
GADD45GIP1	NM_052850
GAK	NM_005255
GAL	NM_015973
GAL3ST1	NM_001318104
GAL3ST2	NM_022134
GAL3ST3	NM_033036
GAL3ST4	NM_024637
GALC	NM_000153
GALE	NM_001008216
GALK2	NM_002044
GALM	NM_138801
GALNS	NM_000512
GALNT10	NM_198321
GALNT11	NM_022087
GALNT12	NM_024642
GALNT13	NM_052917
GALNT14	NM_024572
GALNT15	NM_054110
GALNT16	NM_001168368
GALNT17	NM_022479
GALNT18	NM_198516
GALNT2	NM_004481
GALNT3	NM_004482
GALNT4	NM_003774
GALNT5	NM_014568
GALNT6	NM_007210
GALNT7	NM_017423
GALNT8	NM_017417
GALNT9	NM_001122636
GALNTL5	NM_145292
GALNTL6	NM_001034845
GALP	NM_033106
GALR1	NM_001480
GALR2	NM_003857
GALR3	NM_003614
GALT	NM_000155
GAMT	NM_000156
GANAB	NM_198334
GAP43	NM_002045
GAPDH	NM_002046
GAPDHS	NM_014364
GAPVD1	NM_001282680
GAR1	NM_018983
GAREM1	NM_001242409
GAREM2	NM_001168241
GARNL3	NM_032293
GART	NM_000819
GAS1	NM_002048
GAS2L2	NM_139285
GAS2L3	NM_174942
GAS6	NM_000820
GAS8	NM_001481
GASK1A	NM_001129908
GAST	NM_000805
GATA2	NM_032638
GATA3	NM_001002295
GATA4	NM_001308093
GATA5	NM_080473
GATA6	NM_005257
GATAD2B	NM_020699
GATB	NM_004564
GATC	NM_176818
GATD1	NM_182612
GATD3A	NM_004649
GATD3B	NM_001363758
GATM	NM_001482
GBA	NM_000157
GBA2	NM_020944
GBE1	NM_000158
GBP1	NM_002053
GBP2	NM_004120
GBP3	NM_018284
GBP4	NM_052941
GBP6	NM_198460
GBP7	NM_207398
GBX2	NM_001485
GC	NM_000583
GCA	NM_012198
GCAT	NM_014291
GCC1	NM_024523
GCC2	NM_181453
GCDH	NM_000159
GCFC2	NM_003203
GCG	NM_002054
GCGR	NM_000160
GCH1	NM_000161
GCHFR	NM_005258
GCK	NM_000162
GCKR	NM_001486
GCLM	NM_002061
GCM1	NM_003643
GCM2	NM_004752
GCN1	NM_006836
GCNT1	NM_001490
GCNT3	NM_004751
GCNT4	NM_001366737
GCSAM	NM_152785
GCSAML	NM_145278
GDA	NM_004293
GDAP1L1	NM_024034
GDAP2	NM_017686
GDE1	NM_016641
GDF1	NM_001492
GDF10	NM_004962
GDF11	NM_005811
GDF15	NM_004864
GDF2	NM_016204
GDF3	NM_020634
GDF5	NM_000557
GDF6	NM_001001557
GDF7	NM_182828
GDI1	NM_001493
GDI2	NM_001494
GDNF	NM_000514
GDPD1	NM_182569
GDPD2	NM_017711
GDPD3	NM_024307
GDPD5	NM_030792
GEM	NM_005261
GEMIN4	NM_015721
GEMIN5	NM_015465
GEMIN6	NM_024775
GEMIN7	NM_024707
GEN1	NM_001130009
GET3	NM_004317
GET4	NM_015949
GFAP	NM_002055
GFER	NM_005262
GFM1	NM_024996
GFM2	NM_032380
GFOD1	NM_018988
GFOD2	NM_030819
GFPT2	NM_005110
GFRA2	NM_001495
GFRA3	NM_001496
GFRAL	NM_207410
GGA1	NM_013365
GGA2	NM_015044
GGA3	NM_138619
GGCT	NM_024051
GGH	NM_003878
GGN	NM_152657
GGNBP2	NM_024835
GGPS1	NM_004837
GGT1	NM_001288833
GGT6	NM_001288702
GGT7	NM_178026
GGTLC1	NM_178311
GGTLC3	NM_001355479
GH1	NM_000515
GH2	NM_002059
GHDC	NM_032484
GHITM	NM_014394
GHR	NM_000163
GHRHR	NM_000823
GHRL	NM_016362
GHSR	NM_198407
GID4	NM_024052
GID8	NM_017896
GIGYF2	NM_001103146
GIMAP1	NM_130759
GIMAP2	NM_015660
GIMAP4	NM_018326
GIMAP6	NM_024711
GIMAP7	NM_153236
GIMAP8	NM_175571
GIMD1	NM_001195138
GIN1	NM_017676
GINM1	NM_138785
GINS1	NM_021067
GINS2	NM_016095
GINS3	NM_022770
GINS4	NM_032336
GIP	NM_004123
GIPC1	NM_005716
GIPC2	NM_017655
GIPC3	NM_133261
GIPR	NM_000164
GIT1	NM_014030
GIT2	NM_057169
GJA10	NM_032602
GJA3	NM_021954
GJA4	NM_002060
GJA5	NM_181703
GJA8	NM_005267
GJA9	NM_030772
GJB1	NM_000166
GJB3	NM_024009
GJB5	NM_005268
GJB7	NM_198568
GJC1	NM_005497
GJC2	NM_020435
GJC3	NM_181538
GJD2	NM_020660
GJD3	NM_152219
GJD4	NM_153368
GK2	NM_033214
GK5	NM_001039547
GKAP1	NM_025211
GKN1	NM_019617
GKN2	NM_182536
GLB1	NM_000404
GLB1L	NM_001286423
GLB1L2	NM_001370461
GLB1L3	NM_001080407
GLCCI1	NM_138426
GLCE	NM_015554
GLDN	NM_181789
GLE1	NM_001003722
GLG1	NM_001145667
GLI1	NM_005269
GLI2	NM_001374353
GLI3	NM_000168
GLI4	NM_138465
GLIPR1	NM_006851
GLIPR1L1	NM_001304964
GLIPR1L2	NM_001270396
GLIPR2	NM_022343
GLIS2	NM_032575
GLIS3	NM_001042413
GLMN	NM_053274
GLMP	NM_144580
GLO1	NM_006708
GLOD5	NM_001080489
GLP1R	NM_002062
GLP2R	NM_004246
GLRA1	NM_000171
GLRA2	NM_002063
GLRA3	NM_006529
GLRB	NM_000824
GLRX	NM_001118890
GLRX2	NM_197962
GLRX3	NM_006541
GLRX5	NM_016417
GLS	NM_014905
GLS2	NM_013267
GLT1D1	NM_144669
GLT6D1	NM_182974
GLTP	NM_016433
GLTPD2	NM_001014985
GLUD1	NM_005271
GLUD2	NM_012084
GLUL	NM_001033044
GLYAT	NM_201648
GLYATL1B	NM_001355566
GLYATL2	NM_145016
GLYATL3	NM_001010904
GLYCTK	NM_145262
GLYR1	NM_032569
GM2A	NM_000405
GMCL1	NM_178439
GMCL2	NM_001358008
GMDS	NM_001500
GMEB2	NM_012384
GMFB	NM_004124
GMFG	NM_004877
GMIP	NM_016573
GML	NM_002066
GMNC	NM_001146686
GMNN	NM_015895
GMPPA	NM_013335
GMPPB	NM_021971
GMPR	NM_006877
GMPR2	NM_001002002
GMPS	NM_003875
GNA12	NM_007353
GNA13	NM_006572
GNA14	NM_004297
GNA15	NM_002068
GNAI1	NM_002069
GNAI2	NM_002070
GNAI3	NM_006496
GNAL	NM_182978
GNAO1	NM_020988
GNAT1	NM_144499
GNAT3	NM_001102386
GNAZ	NM_002073
GNB1	NM_002074
GNB1L	NM_053004
GNB2	NM_005273
GNB3	NM_002075
GNB4	NM_021629
GNE	NM_005476
GNG10	NM_001017998
GNG11	NM_004126
GNG12	NM_018841
GNG13	NM_016541
GNG14	NM_001316692
GNG3	NM_012202
GNG4	NM_001098722
GNG5	NM_005274
GNG7	NM_052847
GNGT1	NM_021955
GNGT2	NM_001198754
GNL2	NM_013285
GNL3	NM_014366
GNL3L	NM_001184819
GNLY	NM_006433
GNMT	NM_018960
GNPAT	NM_014236
GNPDA1	NM_005471
GNPDA2	NM_138335
GNPNAT1	NM_198066
GNPTAB	NM_024312
GNPTG	NM_032520
GNRH1	NM_001083111
GNRHR	NM_000406
GNS	NM_002076
GOLGA1	NM_002077
GOLGA5	NM_005113
GOLGA6A	NM_001038640
GOLGA6L1	NM_001001413
GOLGA6L10	NM_001164465
GOLGA6L2	NM_001304388
GOLGA6L4	NM_001267536
GOLGA6L6	NM_001145004
GOLGA7	NM_001002296
GOLGA7B	NM_001010917
GOLGA8O	NM_001277308
GOLIM4	NM_014498
GOLM1	NM_016548
GOLM2	NM_138423
GOLPH3	NM_022130
GOLPH3L	NM_018178
GOLT1A	NM_198447
GOLT1B	NM_016072
GON7	NM_032490
GOPC	NM_020399
GORAB	NM_152281
GORASP2	NM_015530
GOSR1	NM_001007025
GOSR2	NM_004287
GOT1	NM_002079
GOT1L1	NM_152413
GOT2	NM_002080
GP2	NM_001502
GP6	NM_001083899
GPA33	NM_005814
GPAA1	NM_003801
GPALPP1	NM_018559
GPAM	NM_001244949
GPANK1	NM_033177
GPAT3	NM_032717
GPAT4	NM_178819
GPATCH1	NM_018025
GPATCH11	NM_174931
GPATCH2	NM_018040
GPATCH2L	NM_017926
GPATCH3	NM_022078
GPATCH4	NM_182679
GPATCH8	NM_001002909
GPBAR1	NM_170699
GPBP1	NM_022913
GPBP1L1	NM_021639
GPC1	NM_002081
GPC2	NM_152742
GPC4	NM_001448
GPC5	NM_004466
GPC6	NM_005708
GPCPD1	NM_019593
GPD1	NM_005276
GPD2	NM_000408
GPER1	NM_001098201
GPHA2	NM_130769
GPHB5	NM_145171
GPHN	NM_020806
GPIHBP1	NM_178172
GPKOW	NM_015698
GPLD1	NM_001503
GPM6B	NM_001001995
GPN1	NM_007266
GPN2	NM_018066
GPN3	NM_016301
GPNMB	NM_002510
GPR12	NM_005288
GPR132	NM_013345
GPR137B	NM_003272
GPR137C	NM_001099652
GPR139	NM_001002911
GPR143	NM_000273
GPR146	NM_001303473
GPR148	NM_207364
GPR149	NM_001038705
GPR15	NM_005290
GPR150	NM_199243
GPR152	NM_206997
GPR153	NM_207370
GPR157	NM_024980
GPR158	NM_020752
GPR160	NM_014373
GPR162	NM_019858
GPR171	NM_013308
GPR173	NM_018969
GPR176	NM_007223
GPR179	NM_001004334
GPR180	NM_180989
GPR182	NM_007264
GPR183	NM_004951
GPR19	NM_006143
GPR20	NM_005293
GPR22	NM_005295
GPR25	NM_005298
GPR26	NM_153442
GPR27	NM_018971
GPR3	NM_005281
GPR31	NM_005299
GPR32	NM_001506
GPR33	NM_001197184
GPR34	NM_001097579
GPR37	NM_005302
GPR37L1	NM_004767
GPR39	NM_001508
GPR4	NM_005282
GPR45	NM_007227
GPR50	NM_004224
GPR52	NM_005684
GPR55	NM_005683
GPR62	NM_080865
GPR63	NM_030784
GPR65	NM_003608
GPR68	NM_001177676
GPR75	NM_006794
GPR78	NM_080819
GPR82	NM_080817
GPR83	NM_016540
GPR84	NM_020370
GPR87	NM_023915
GPR88	NM_022049
GPR89A	NM_001097612
GPR89B	NM_016334
GPRASP1	NM_001184727
GPRC5A	NM_003979
GPRC5B	NM_016235
GPRC5C	NM_022036
GPRC6A	NM_148963
GPRIN1	NM_052899
GPRIN3	NM_198281
GPS2	NM_004489
GPSM1	NM_001145638
GPSM3	NM_001276501
GPT	NM_005309
GPT2	NM_133443
GPX1	NM_000581
GPX2	NM_002083
GPX3	NM_002084
GPX4	NM_002085
GPX5	NM_001509
GPX6	NM_182701
GPX7	NM_015696
GPX8	NM_001008397
GRAMD1C	NM_017577
GRAMD2A	NM_001012642
GRAMD2B	NM_023927
GRAMD4	NM_015124
GRAP	NM_006613
GRAP2	NM_004810
GRAPL	NM_001129778
GRB10	NM_001350814
GRB14	NM_004490
GRB2	NM_002086
GRB7	NM_005310
GREB1	NM_014668
GREM2	NM_022469
GRHL1	NM_198182
GRHL2	NM_024915
GRHL3	NM_198173
GRHPR	NM_012203
GRIA1	NM_000827
GRIA3	NM_007325
GRIA4	NM_000829
GRID1	NM_017551
GRID2	NM_001510
GRIK3	NM_000831
GRIN1	NM_007327
GRIN2A	NM_001134407
GRIN2B	NM_000834
GRIN2C	NM_000835
GRIN3A	NM_133445
GRIN3B	NM_138690
GRINA	NM_001009184
GRIP2	NM_001080423
GRIPAP1	NM_020137
GRK1	NM_002929
GRK2	NM_001619
GRK3	NM_005160
GRK4	NM_182982
GRK5	NM_005308
GRK6	NM_001004106
GRM1	NM_001278064
GRM2	NM_000839
GRM4	NM_000841
GRM7	NM_000844
GRM8	NM_000845
GRP	NM_002091
GRPEL1	NM_025196
GRPEL2	NM_152407
GRPR	NM_005314
GRSF1	NM_002092
GRTP1	NM_024719
GRWD1	NM_031485
GSAP	NM_017439
GSC	NM_173849
GSC2	NM_005315
GSDMA	NM_178171
GSDMC	NM_031415
GSDMD	NM_024736
GSE1	NM_014615
GSG1	NM_001080555
GSG1L	NM_001109763
GSK3A	NM_019884
GSK3B	NM_001146156
GSKIP	NM_016472
GSPT1	NM_002094
GSPT2	NM_018094
GSTA1	NM_145740
GSTA2	NM_000846
GSTA3	NM_000847
GSTA4	NM_001512
GSTCD	NM_001370181
GSTK1	NM_015917
GSTM1	NM_000561
GSTM2	NM_000848
GSTM3	NM_000849
GSTM4	NM_000850
GSTM5	NM_000851
GSTO1	NM_004832
GSTO2	NM_183239
GSTT2B	NM_001080843
GSTZ1	NM_145870
GSX1	NM_145657
GSX2	NM_133267
GTF2A1	NM_015859
GTF2A1L	NM_006872
GTF2A2	NM_004492
GTF2B	NM_001514
GTF2E1	NM_005513
GTF2E2	NM_002095
GTF2F1	NM_002096
GTF2F2	NM_004128
GTF2H1	NM_005316
GTF2H3	NM_001516
GTF2H4	NM_001517
